"DH - Emitente Doc.Origem";;"Recolhedor Doc.";;"Documento Hábil";"DH - Dia Transação";"DH - Doc. Origem";"DH - Observação";"DH - Processo";"DH - Valor Doc.Origem";"Compromisso";"DH - Valor";"DARF - Valor Base Cálculo";"DARF - Valor Total";"DARF - Receita";;"Realizado"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000399";"16/11/2023";"370";"NFS-e N. 202300000000370 e DANFE Nº 1529 REF. AO CONTRATO N. 02/2023, VIGENTE ATÉ 20/01/2024, CUJO OBJETO É CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA E INSTALAÇÃO/REMOÇÃO DOS CONDICIONADORES DE AR, CAMPUS RECIFE, CAA E CAV. SERVIÇOS REALIZADOS NO PERÍODO DE SETEMBRO DE 2023.\ 17033 - SERVIÇOS e \17009 - MATERIAIS.";"23076.106738/2023-02";"21699,76";"104494381";"25126,86";"3427,1";"200,49";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"200,49"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000399";"16/11/2023";"1529";"NFS-e N. 202300000000370 e DANFE Nº 1529 REF. AO CONTRATO N. 02/2023, VIGENTE ATÉ 20/01/2024, CUJO OBJETO É CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA E INSTALAÇÃO/REMOÇÃO DOS CONDICIONADORES DE AR, CAMPUS RECIFE, CAA E CAV. SERVIÇOS REALIZADOS NO PERÍODO DE SETEMBRO DE 2023.\ 17033 - SERVIÇOS e \17009 - MATERIAIS.";"23076.106738/2023-02";"3427,1";"104494379";"25126,86";"21699,76";"2050,63";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"2.050,63"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000399";"16/11/2023";"1529";"NFS-e N. 202300000000370 e DANFE Nº 1529 REF. AO CONTRATO N. 02/2023, VIGENTE ATÉ 20/01/2024, CUJO OBJETO É CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA E INSTALAÇÃO/REMOÇÃO DOS CONDICIONADORES DE AR, CAMPUS RECIFE, CAA E CAV. SERVIÇOS REALIZADOS NO PERÍODO DE SETEMBRO DE 2023.\ 17033 - SERVIÇOS e \17009 - MATERIAIS.";"23076.106738/2023-02";"3427,1";"104494381";"25126,86";"3427,1";"200,49";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"200,49"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000400";"06/11/2023";"202300000000374";"NFS-e 202300000000374  referente à manutenções preventivas de condicionadores de ar dos Campus Recife, Caruaru e Vitória de Santo Antão, realizados no mês de JULHO/2023, conforme Contrato 25/2023, vigente até MAIO/2024 \17099";"23076.108787/2023-66";"81215,5";"104571394";"81215,5";"81215,5";"7674,86";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"7.674,86"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000422";"22/11/2023";"202300000400";"NFS-e 202300000000400  referente à manutenções preventivas de condicionadores de ar dos Campus Recife, Caruaru e Vitória de Santo Antão, realizados no mês de AGOSTO/2023, conforme Contrato 25/2023, vigente até MAIO/2024 \17099.";"23076.114553/2023-69";"29148,5";"104997115";"29148,5";"29148,5";"2754,53";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"2.754,53"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000423";"22/11/2023";"202300000000403";"NFS-e 202300000000403 referente a manutenções preventivas de condicionadores de ar dos Campus Recife, Caruaru e Vitória de Santo Antão, realizados no mês de SETEMBRO/2023, conforme Contrato 25/2023, vigente até MAIO/2024 \17099";"23076.115173/2023-13";"59436";"105021875";"59436";"59436";"5616,7";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"5.616,70"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000430";"29/11/2023";"202300000000406";"NFS-e N. 2023NE00000000406 e DANFE N. 1543, REF. AO CONTRATO N. 02/2023, VIGENTE ATÉ 20/01/2024, CUJO OBJETO É CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA E INSTALAÇÃO/REMOÇÃO DOS CONDICIONADORES DE AR, CAMPUS RECIFE, CAA E CAV. SERVIÇOS REALIZADOS NO PERÍODO 10/2023.\ 17033 - SERVIÇOS e \17009 - MATERIAIS.";"23076.115673/2023-93";"25032,66";"105097025";"25840,4";"25032,66";"2365,59";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"2.365,59"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000430";"29/11/2023";"202300000000406";"NFS-e N. 2023NE00000000406 e DANFE N. 1543, REF. AO CONTRATO N. 02/2023, VIGENTE ATÉ 20/01/2024, CUJO OBJETO É CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA E INSTALAÇÃO/REMOÇÃO DOS CONDICIONADORES DE AR, CAMPUS RECIFE, CAA E CAV. SERVIÇOS REALIZADOS NO PERÍODO 10/2023.\ 17033 - SERVIÇOS e \17009 - MATERIAIS.";"23076.115673/2023-93";"25032,66";"105097027";"25840,4";"807,74";"47,25";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"47,25"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000430";"29/11/2023";"1543";"NFS-e N. 2023NE00000000406 e DANFE N. 1543, REF. AO CONTRATO N. 02/2023, VIGENTE ATÉ 20/01/2024, CUJO OBJETO É CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA E INSTALAÇÃO/REMOÇÃO DOS CONDICIONADORES DE AR, CAMPUS RECIFE, CAA E CAV. SERVIÇOS REALIZADOS NO PERÍODO 10/2023.\ 17033 - SERVIÇOS e \17009 - MATERIAIS.";"23076.115673/2023-93";"807,74";"105097025";"25840,4";"25032,66";"2365,59";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"2.365,59"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000430";"29/11/2023";"1543";"NFS-e N. 2023NE00000000406 e DANFE N. 1543, REF. AO CONTRATO N. 02/2023, VIGENTE ATÉ 20/01/2024, CUJO OBJETO É CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA E INSTALAÇÃO/REMOÇÃO DOS CONDICIONADORES DE AR, CAMPUS RECIFE, CAA E CAV. SERVIÇOS REALIZADOS NO PERÍODO 10/2023.\ 17033 - SERVIÇOS e \17009 - MATERIAIS.";"23076.115673/2023-93";"807,74";"105097027";"25840,4";"807,74";"47,25";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"47,25"
"10641724000178";"C. PARRA VIEIRA";"10641724000178";"C. PARRA VIEIRA";"153087152332023NP000197";"30/11/2023";"794";"DANFE 794 referente à aquisição de material químico, conforme Pregão UFPE 16/2022 \17009";"23076.045491/2023-15";"73,2";"105283647";"73,2";"73,2";"4,28";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"4,28"
"43684445000140";"CH3 COMERCIO E NEGOCIOS LTDA";"43684445000140";"CH3 COMERCIO E NEGOCIOS LTDA";"153084152332023NP000062";"01/11/2023";"1012";"DANFE 1012 referente à aquisição de aparelhos e utensílios domésticos, conforme Pregão UFPE 31/2022 \17009";"23076.082824/2023-48";"639,74";"104476249";"639,74";"639,74";"37,42";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"37,42"
"43684445000140";"CH3 COMERCIO E NEGOCIOS LTDA";"43684445000140";"CH3 COMERCIO E NEGOCIOS LTDA";"153088152332023NP000234";"22/11/2023";"1177";"AQUISIÇÃO DE FRIGOBAR PARA O CTG - DANFE NR. 1177 \17009";"23076.090241/2023-94";"1205,36";"105066061";"1205,36";"1205,36";"70,51";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"70,51"
"40432544000147";"CLARO S.A.";"40432544000147";"CLARO S.A.";"153101152332023NP000070";"08/11/2023";"23/10/23002056-4";"FATURA Nº 23/10/23002056-4 - CLARO S/A - COMP: OUT/2023.";"23076.062660/2023-15";"4033,95";"104674132";"4033,95";"4033,95";"381,21";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"381,21"
"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"150119152332023NP000109";"07/11/2023";"184";"Contrato 32/2021, vigente até 03/11/2023 - serviços de manutenção predial do Centro Acadêmico do Agreste - UFPE";"23076.109125/2023-58";"148260,26";"104590968";"148260,26";"148260,26";"8673,23";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"8.673,23"
"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"150134152332023NP000087";"09/11/2023";"185";"Contrato 31/2021, vigente até 04/11/2023, serviços de manutenção corretiva predial do Centro Acadêmico de Vitória UFPE";"23076.109528/2023-41";"109621";"104716961";"109621";"109621";"6412,83";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"6.412,83"
"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"153095152332023NP000387";"16/11/2023";"186";"CONTRATO Nº 037/2021, REF. SERV. MANUTENÇÃO PREVENTIVA E CORRETIVA DAS INSTALAÇÕES ELÉTRICAS (EM NÍVEL DE BAIXA TENSÃO, ALTA TENSÃO E ILUMINAÇÃO PÚBLICA) E INSTALAÇÕES CIVIS E HIDROSSANITÁRIAS, NAS EDIFICAÇÕES DA UFPE INTERNAS E EXTERNAS DO CAMPUS RECIFE - VIGÊNCIA CONTRATO ATÉ 17/11/23";"23076.105144/2023-69";"956323,51";"104864259";"956323,51";"956323,51";"55944,92";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"55.944,92"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"150119152332023NP000124";"09/11/2023";"8704";"DANFE 8704 referente à aquisição de água mineral, conforme Pregão UFPE 18/2023.";"23076.109443/2023-08";"2790";"104689384";"2790";"2790";"163,22";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"163,22"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153083152332023NP000156";"29/11/2023";"8683";"AQUISIÇÃO DE ÁGUA MINERAL. PORTARIA 234/2023-DORC - DANFE 8683. \17001";"23076.115482/2023-12";"106,8";"105333900";"106,8";"106,8";"6,25";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"6,25"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153084152332023NP000064";"06/11/2023";"8705";"AQUISIÇÃO DE ÁGUA MINERAL PARA O CFCH/UFPE - DANFE NR. 8705  \17001";"23076.108911/2023-16";"731,58";"104574862";"731,58";"731,58";"42,79";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"42,79"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153085152332023NP000041";"17/11/2023";"8685";"DANFE Nº 8685 REF. A AQUISIÇÃO DE MATERIAL DE CONSUMO (ÁGUA MINERAL)";"23076.113130/2023-78";"395,16";"104856321";"395,16";"395,16";"23,12";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"23,12"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153087152332023NP000193";"24/11/2023";"8706";"DANFE Nº 8706 REF. A AQUISIÇÃO DE MATERIAL DE CONSUMO (ÁGUA MINERAL)";"23076.111467/2023-68";"1276,26";"105006827";"1276,26";"1276,26";"74,66";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"74,66"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153089152332023NP000030";"06/12/2023";"8681";"DANFE N. 8681 REF. GENERO DE ALIMENTAÇÃO - NATUREZDA DA DESPESA NO EFD-REINF: ALIMENTAÇÃO \17001";"23076.108126/2023-65";"133,5";"104616813";"133,5";"133,5";"7,81";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"7,81"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153093152332023NP000020";"06/12/2023";"8696";"DANFE N. 8696 REF. MATERIAL DE CONSUMO2023NE000012 ¿ PORT. DORC ¿ FONTE 1050000382 ¿ CUSTEIO ¿ 339030.07 ¿ GENEROS DE ALIMENTAÇAÕPRONTO PRA PAGAMENTO";"23076.109043/2023-41";"133,5";"104621864";"133,5";"133,5";"7,81";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"7,81"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153095152332023NP000401";"06/12/2023";"8700";"DANFE 8700 referente à aquisição de água mineral, conforme Pregão UFPE 18/2023 \17009";"23076.109169/2023-34";"2184,06";"104592883";"2184,06";"2184,06";"127,77";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"127,77"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153355152332023NP000057";"07/11/2023";"8698";"DANFE N. 8698 REF. MATERIAL DE CONSUMO - EFD-REINF: ALIMENTAÇÃO \170012023NE000055 ¿ PORT. DORC ¿ FONTE 1050000382  -33903.07 ¿ GENEROS DE ALIMENTAÇÃOPRONTO PRA PAGAMENTO";"23076.108317/2023-49";"2264,16";"104603000";"2264,16";"2264,16";"132,45";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"132,45"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153375152332023NP000023";"01/11/2023";"8699";"AQUISIÇÃO DE ÁGUA MINERAL PARA O COLÉGIO DE APLICAÇÃO DA UFPE - DANFE 8699 - NATUREZA DO RENDIMENTO EFD-REINF\17001";"23076.107613/2023-45";"202,92";"104511710";"202,92";"202,92";"11,87";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"11,87"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153375152332023NP000024";"30/11/2023";"8793";"DANFE N. 8793 REF. AQUISIÇÃO DE ÁGUA MINERAL PARA O COLÉGIO DE APLICAÇÃO DA UFPE - NATUREZA DO RENDIMENTO EFD-REINF\170012023NE000008 ¿ PORT. DORC ¿ FONTE 1000000000 ¿ CUSTEIO ¿ 339030.07 ¿ GENEROS DE ALIMENTAÇÃOPRONTO PRA PAGAMENTO";"23076.115430/2023-58";"133,5";"105356532";"133,5";"133,5";"2,94";"8767";"MEDICAMENTO ADQUIR.DISTRIB./VAREJ.RET.ORG.PUB";"2,94"
"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"153095152332023NP000403";"27/11/2023";"6069549";"N.FISCAIS NRS. CELPE OUTUBRO/2023 CONTRATOS: 2785423014,2791581012,4006396947,7022705070,4007337669,7016407717,7018485855,2079264019, 0927122022, 1889174010, 0927211017, 4003825448,0927531011, 2079725016, 1487243015,0927129019,0927130025,0927131013,0927928027, 2864886011, 1306031011, 927158019,1507282012,0927137011,7028963887,0927548011, 4006001489,4008514017, 7019945019, 7012857440, 2791581012,7022705070";"23076.109407/2023-10";"497675,5";"104665969";"1393630,18";"1393630,18";"91312,81";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"91.312,81"
"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"153095152332023NP000403";"27/11/2023";"6068944";"N.FISCAIS NRS. CELPE OUTUBRO/2023 CONTRATOS: 2785423014,2791581012,4006396947,7022705070,4007337669,7016407717,7018485855,2079264019, 0927122022, 1889174010, 0927211017, 4003825448,0927531011, 2079725016, 1487243015,0927129019,0927130025,0927131013,0927928027, 2864886011, 1306031011, 927158019,1507282012,0927137011,7028963887,0927548011, 4006001489,4008514017, 7019945019, 7012857440, 2791581012,7022705070";"23076.109407/2023-10";"895954,68";"104665969";"1393630,18";"1393630,18";"91312,81";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"91.312,81"
"11319557000378";"DENTECK LTDA";"11319557000378";"DENTECK LTDA";"153082152332023NP000082";"07/12/2023";"94829";"DANFE 94829 referente à aquisição de aparelhos e utensílios domésticos, conforme Pregão UFPE 02/2023 \17009";"23076.082706/2023-33";"22578,6";"104776809";"22578,6";"22578,6";"1320,85";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"1.320,85"
"11319557000378";"DENTECK LTDA";"11319557000378";"DENTECK LTDA";"153085152332023NP000044";"11/12/2023";"98724";"AQUISIÇÃO DE AR CONDICIONADO P/O CE - EMPENHO 2023NE000036 ¿ CNPJ 11.319.557/0003-78 (DENTECK LTDA) - PREGÃO 02/2023 UASG 153080 - PROCESSO 23076.094956/2023-53PORTARIA DE CRÉDITO 695/2022-DORC - FONTE 1000000000/2023DANFE 98724\17009";"23076.094956/2023-53";"8800";"105095292";"8800";"8800";"514,8";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"514,80"
"11319557000378";"DENTECK LTDA";"11319557000378";"DENTECK LTDA";"153088152332023NP000225";"11/12/2023";"97271";"AQUISIÇÃO DE AR CONDICIONADO 12.000 BTUS SPLIT PARA O CTG - DANFE NR. 97.271 \17009";"23076.092273/2023-35";"1760";"104810052";"1760";"1760";"102,96";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"102,96"
