"DH - Emitente Doc.Origem";;"Recolhedor Doc.";;"Documento Hábil";"DH - Dia Transação";"DH - Doc. Origem";"DH - Observação";"DH - Processo";"DH - Valor Doc.Origem";"Compromisso";"DH - Valor";"DARF - Valor Base Cálculo";"DARF - Valor Total";"DARF - Receita";;"Realizado"
"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"150119152332023NP000092";"05/10/2023";"179";"Contrato 32/2021, vigente até 03/11/2023 - serviços de manutenção predial do Centro Acadêmico do Agreste - UFPE";"23076.097418/2023-24";"136196,17";"103747820";"136196,17";"136196,17";"7967,48";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"7.967,48"
"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"150119152332023NP000107";"20/10/2023";"183";"NFS-E N. 183, REFERENTE À REPACTUAÇÃO do Contrato 95/2014, Serviços de manutenção predial do Centro Acadêmico do Agreste - UFPE, NO PERÍODO DE 01/01/2019 a 01/09/2020NATUREZA DA DESPESA PARA EFD-REINF: LOCAÇÃO DE MÃO DE OBRA \170332023NE000068 ¿ PORT. DORC ¿ FONTE 1444000000 ¿ CUSTEIO ¿ 339092.39 OUTROS SERVIÇOS DE TERCEIROS PJ";"23076.102005/2023-44";"61386,72";"104128149";"61386,72";"61386,72";"3591,12";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"3.591,12"
"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"150134152332023NP000076";"06/10/2023";"182";"Contrato 31/2021, vigente até 04/11/2023, serviços de manutenção corretiva predial do Centro Acadêmico de Vitória UFPE";"23076.096661/2023-93";"101239,16";"103785631";"101239,16";"101239,16";"5922,49";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"5.922,49"
"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"153095152332023NP000322";"04/10/2023";"181";"CONTRATO Nº 037/2021, REF. SERV. MANUTENÇÃO PREVENTIVA E CORRETIVA DAS INSTALAÇÕES ELÉTRICAS (EM NÍVEL DE BAIXA TENSÃO, ALTA TENSÃO E ILUMINAÇÃO PÚBLICA) E INSTALAÇÕES CIVIS E HIDROSSANITÁRIAS, NAS EDIFICAÇÕES DA UFPE INTERNAS E EXTERNAS DO CAMPUS RECIFE - VIGÊNCIA CONTRATO ATÉ 17/11/23";"23076.095184/2023-08";"912577,57";"103744752";"912577,57";"912577,57";"53385,79";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"53.385,79"
"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"11533627000124";"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA";"153095152332023NP000365";"05/10/2023";"180";"NFS-e Nº 180, REF.REPACTUAÇÃO DO PERÍODO DE AGOSTO DE 2022 A AGOSTO DE 2023 - CONTRATO Nº 37/2021 - 5º T.A. SERV. MANUTENÇÃO PREVENTIVA E CORRETIVA DAS INSTALAÇÕES ELÉTRICAS (EM NÍVEL DE BAIXA TENSÃO, ALTA TENSÃO E ILUMINAÇÃO PÚBLICA) E INSTALAÇÕES CIVIS E HIDROSSANITÁRIAS, NAS EDIFICAÇÕES DA UFPE INTERNAS E EXTERNAS DO CAMPUS RECIFE - VIGÊNCIA CONTRATO ATÉ 17/11/23.";"23076.097378/2023-37";"246262,72";"103761618";"246262,72";"246262,72";"14406,37";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"14.406,37"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"150119152332023NP000100";"05/10/2023";"8567";"AQUISIÇÃO ÁGUA MINERAL  - DANFE Nº 8567. PORT. Nº 223/2023 - MODALOC";"23076.095254/2023-58";"3090";"103732326";"3090";"3090";"180,76";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"180,76"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"150119152332023NP000114";"25/10/2023";"8496";"AQUSIÇÃO DE AGUA MINERAL PARA O CAA - DANFE. NR 8496 \17009";"23076.086342/2023-81";"3445";"104264414";"3445";"3445";"201,53";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"201,53"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153083152332023NP000144";"24/10/2023";"8572";"AQUISIÇÃO DE ÁGUA MINERAL P/DEPTO DE GENÉTICA/CB - EMPENHO 2023NE000017 - CNPJ 27.729.308/0001-29 (COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO) - PREGÃO 18/2023 UASG 153080 - PROCESSO 23076.102569/2023-45PORTARIA 234/2023-DORC - FONTE 1000000000/2023DANFE 8572\17001";"23076.102569/2023-45";"53,4";"104221452";"53,4";"53,4";"3,12";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"3,12"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153084152332023NP000057";"20/10/2023";"8497";"AQUISIÇÃO DE ÁGUA MINERAL PARA O CFCH - UFPE - DANFE NR - 8497 e 8613 \17001";"23076.101798/2023-07";"53,4";"104040914";"918,48";"918,48";"53,73";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"53,73"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153084152332023NP000057";"20/10/2023";"8613";"AQUISIÇÃO DE ÁGUA MINERAL PARA O CFCH - UFPE - DANFE NR - 8497 e 8613 \17001";"23076.101798/2023-07";"865,08";"104040914";"918,48";"918,48";"53,73";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"53,73"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153087152332023NP000118";"04/10/2023";"8583";"DANFE 8583 referente à aquisição de água mineral, conforme Pregão UFPE 18/2023 \17001";"23076.097035/2023-83";"160,2";"103717303";"160,2";"160,2";"9,37";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"9,37"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153087152332023NP000120";"04/10/2023";"8584";"DANFE 8584 referente à aquisição de água mineral, conforme Pregão UFPE 18/2023 \17001";"23076.097119/2023-46";"955,86";"103722050";"955,86";"955,86";"55,92";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"55,92"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153089152332023NP000026";"06/11/2023";"8568";"DANFE N. 8568 REF. GENERO DE ALIMENTAÇÃO - NATUREZDA DA DESPESA NO EFD-REINF: ALIMENTAÇÃO \17001";"23076.095412/2023-60";"112,14";"103747968";"112,14";"112,14";"6,56";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"6,56"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153093152332023NP000017";"10/10/2023";"8570";"PAGAMENTO DE NOTA FISCAL REFERENTE A AQUISIÇÃO DE ÁGUA MINERAL - MÊS DE SETEMBRO - EDITORA UFPE - DANFE NR. 8570";"23076.096012/2023-59";"58,74";"103877338";"58,74";"58,74";"3,44";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"3,44"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153095152332023NP000385";"20/10/2023";"8582";"AQUISIÇÃO DE ÁGUA MINERAL P/O SINFRA - EMPENHO 2023NE000097 - CNPJ 27.729.308/0001-29 (COMAPE - COMÉRCIO DE ALIMENTOS DE PERNAMBUCO) - PREGÃO 18/2023 UASG 153080 - PROCESSO 23076.102910/2023-53PORTARIA 877/2023-DORC - FONTE 1444000000/2023DANFE 8582\17001";"23076.102910/2023-53";"534";"104078110";"534";"534";"31,24";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"31,24"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153375152332023NP000021";"05/10/2023";"8571";"AQUISIÇÃO DE ÁGUA MINERAL PARA O COLÉGIO DE APLICAÇÃO DA UFPE - DANFE 8571";"23076.095922/2023-64";"160,2";"103741842";"160,2";"160,2";"9,37";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"9,37"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153409152332023NP000272";"30/10/2023";"8566";"DANFES 8566 e 8520, REF. AQUISIÇÃO DE ÁGUA MINERAL - DO PE 18/2023 UASG 153080 PORT 435/2023 - DORC.";"23076.058035/2023-51";"6797,82";"104309757";"7673,58";"875,76";"51,23";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"448,90"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153409152332023NP000272";"30/10/2023";"8566";"DANFES 8566 e 8520, REF. AQUISIÇÃO DE ÁGUA MINERAL - DO PE 18/2023 UASG 153080 PORT 435/2023 - DORC.";"23076.058035/2023-51";"6797,82";"104309757";"7673,58";"6797,82";"397,67";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"448,90"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153409152332023NP000272";"30/10/2023";"8520";"DANFES 8566 e 8520, REF. AQUISIÇÃO DE ÁGUA MINERAL - DO PE 18/2023 UASG 153080 PORT 435/2023 - DORC.";"23076.058035/2023-51";"875,76";"104309757";"7673,58";"875,76";"51,23";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"448,90"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153409152332023NP000272";"30/10/2023";"8520";"DANFES 8566 e 8520, REF. AQUISIÇÃO DE ÁGUA MINERAL - DO PE 18/2023 UASG 153080 PORT 435/2023 - DORC.";"23076.058035/2023-51";"875,76";"104309757";"7673,58";"6797,82";"397,67";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"448,90"
"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"27729308000129";"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA";"153410152332023NP000016";"02/10/2023";"8569";"DANFE 8569 referente à aquisição de água mineral, conforme Pregão UFPE 18/2023.";"23076.095616/2023-81";"229,62";"103653855";"229,62";"229,62";"13,43";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"13,43"
"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"153095152332023NP000370";"23/10/2023";"6064140";"N.FISCAIS NRS. CELPE SET/2023 CONTRATOS: 2785423014,2791581012,4006396947,7022705070,4007337669,7016407717,7018485855,2079264019, 0927122022, 1889174010, 0927211017, 4003825448,0927531011, 2079725016, 1487243015,0927129019,0927130025,0927131013,0927928027, 2864886011, 1306031011, 927158019,1507282012,0927137011,7028963887, 0927548011,4006001489,4008514017, 7019945019, 7012857440, 2791581012,7022705070";"23076.099512/2023-37";"1011963,48";"103807290";"1181910,35";"1181910,35";"69031,03";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"69.031,03"
"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"10835932000108";"COMPANHIA ENERGETICA DE PERNAMBUCO";"153095152332023NP000370";"23/10/2023";"6063521";"N.FISCAIS NRS. CELPE SET/2023 CONTRATOS: 2785423014,2791581012,4006396947,7022705070,4007337669,7016407717,7018485855,2079264019, 0927122022, 1889174010, 0927211017, 4003825448,0927531011, 2079725016, 1487243015,0927129019,0927130025,0927131013,0927928027, 2864886011, 1306031011, 927158019,1507282012,0927137011,7028963887, 0927548011,4006001489,4008514017, 7019945019, 7012857440, 2791581012,7022705070";"23076.099512/2023-37";"169946,87";"103807290";"1181910,35";"1181910,35";"69031,03";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"69.031,03"
"09769035000164";"COMPANHIA PERNAMBUCANA DE SANEAMENTO";"09769035000164";"COMPANHIA PERNAMBUCANA DE SANEAMENTO";"153095152332023NP000391";"23/10/2023";"54011";"PG COMPESA FATURAS SET/2023: 10472036.0,7249191.7,5506012.6,5497654.2,10452033.7,2741101.0,5789824.0,5775729.9,5775602.0,5509626.0,5490685.4,5477982.8, 7806176.8,7629698.9, 5506964.6, 505907.1,5491705.8,10494695.4,7731240.6,5779625.1,5775671.3, 5772219.3, 5491711.2, 5491709.0, 5490684.6,2739989.4, E 5491710.4";"23076.102552/2023-19";"144204,27";"104183432";"144204,27";"144204,27";"6705,47";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"6.705,47"
"13498023000110";"CONSTRUTORA FS EIRELI";"13498023000110";"CONSTRUTORA FS EIRELI";"153095152332023NP000368";"06/10/2023";"435";"NFSe 435, REF. SERVIÇOS DE INTERVENÇÃO DE ACESSIBILIDADE FISICA DO CCEN - CAMPUS RECIFE - CONTRATO 23/2022, VIG. ATÉ 03/12/2023 - REF. A 3ª MEDIÇÃO DO 1º T.A. NO PERÍODO DE 24/12/2022 ATÉ 23/01/2023.NATUREZA DO RENDIMENTO: \17003";"23076.097449/2023-60";"4287,14";"103787881";"4287,14";"4287,14";"250,8";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"250,80"
"13498023000110";"CONSTRUTORA FS EIRELI";"13498023000110";"CONSTRUTORA FS EIRELI";"153095152332023NP000380";"23/10/2023";"436";"NFS-e 436  referente à 1a medição do 2º termo aditivo da obra de intervenção de acessibilidade física do CCEN/UFPE/RECIFE (CEI da obra: 90.011.42401/71), no período de 23/01/2023 a 23/03/2023, conforme Contrato 23/2022, vigente até 06/07/2023  \17004";"23076.097141/2023-34";"48591,49";"104013925";"48591,49";"48591,49";"2842,59";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"2.842,59"
"13498023000110";"CONSTRUTORA FS EIRELI";"13498023000110";"CONSTRUTORA FS EIRELI";"153095152332023NP000384";"23/10/2023";"438";"NFS-e nº 438  referente à 8a medição do 2º termo aditivo da obra de intervenção de acessibilidade física do CCEN/UFPE/RECIFE (CEI da obra: 90.011.42401/71), no período de 27/02/2023 a 22/05/2023, conforme Contrato 23/2022, vigente até 06/07/2023.  \17004";"23076.101740/2023-21";"82530,15";"104064323";"82530,15";"82530,15";"4828,01";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"4.828,01"
"14208934000128";"CONSTRUTORA KARBONE E COMERCIAL LTDA";"14208934000128";"CONSTRUTORA KARBONE E COMERCIAL LTDA";"153084152332023NP000054";"04/10/2023";"676";"NFS-e 676 referente à manutenção e conservação de bens imóveis, conforme carona em pregão 12/2023, UASG 160041 \17004";"23076.075851/2023-42";"3377,95";"103746189";"3377,95";"3377,95";"197,61";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"197,61"
"07179175000157";"DATASONIC INDUSTRIA E DISTRIBUICAO DE ELETRONICOS LTDA";"07179175000157";"DATASONIC INDUSTRIA E DISTRIBUICAO DE ELETRONICOS LTDA";"153088152332023NP000197";"18/10/2023";"32995";"DANFE 32995, REF. AQUISIÇÃO DE MATERIAL PERMANENTE - DISPENSA LICITACAO N. 41/2021 - PC N. 0638/2021 - DORC. \17009";"23076.066548/2021-96";"16087";"104065674";"16087";"16087";"941,09";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"941,09"
"09222369000113";"DENTAL MARIA LTDA";"09222369000113";"DENTAL MARIA LTDA";"153087152332023NP000117";"04/10/2023";"18405";"DANFE 18405 referente à aquisição de material odontológico, conforme Pregão UFPE 30/2022 \ 17009";"23076.085239/2023-27";"195";"103713664";"195";"195";"11,41";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"11,41"
"11319557000378";"DENTECK LTDA";"11319557000378";"DENTECK LTDA";"153082152332023NP000074";"25/10/2023";"95610";"DANFE 95610 referente à aquisição de aparelhos e utensílios domésticos, conforme Pregão UFPE 02/2023.";"23076.088224/2023-39";"1760";"104257770";"1760";"1760";"102,96";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"102,96"
