DARFs MENSAIS - R4000 v2 teste

"Recolhedor Doc."		"Documento Hábil"	"DARF - Valor Base Cálculo"	"DARF - Valor Total"	"Realizado"
"20982406000124"	"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA"	"153095152332023NP000399"	"21699,76"	"2050,63"	"2.050,63"
"20982406000124"	"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA"	"153095152332023NP000400"	"81215,5"	"7674,86"	"7.674,86"
"20982406000124"	"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA"	"153095152332023NP000422"	"29148,5"	"2754,53"	"2.754,53"
"20982406000124"	"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA"	"153095152332023NP000423"	"59436"	"5616,7"	"5.616,70"
"20982406000124"	"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA"	"153095152332023NP000430"	"807,74"	"47,25"	"47,25"
"20982406000124"	"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA"	"153095152332023NP000430"	"25032,66"	"2365,59"	"2.365,59"
"10641724000178"	"C. PARRA VIEIRA"	"153087152332023NP000197"	"73,2"	"4,28"	"4,28"
"02846056000197"	"CCR S.A."	"153080152332023NP000026"	"43,29"	"3,05"	"6,77"
"43684445000140"	"CH3 COMERCIO E NEGOCIOS LTDA"	"153084152332023NP000062"	"639,74"	"37,42"	"37,42"
"43684445000140"	"CH3 COMERCIO E NEGOCIOS LTDA"	"153088152332023NP000234"	"1205,36"	"70,51"	"70,51"
"40432544000147"	"CLARO S.A."	"153101152332023NP000070"	"4033,95"	"381,21"	"381,21"
"11533627000124"	"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA"	"150119152332023NP000109"	"148260,26"	"8673,23"	"8.673,23"
"11533627000124"	"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA"	"150134152332023NP000087"	"109621"	"6412,83"	"6.412,83"
"11533627000124"	"CLOVIS DE BARROS LIMA CONSTRUCOES E INCORPORACOES LTDA"	"153095152332023NP000387"	"956323,51"	"55944,92"	"55.944,92"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"150119152332023NP000124"	"2790"	"163,22"	"163,22"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153083152332023NP000156"	"106,8"	"6,25"	"6,25"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153084152332023NP000064"	"731,58"	"42,79"	"42,79"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153085152332023NP000041"	"395,16"	"23,12"	"23,12"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153087152332023NP000193"	"1276,26"	"74,66"	"74,66"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153089152332023NP000030"	"133,5"	"7,81"	"7,81"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153093152332023NP000020"	"133,5"	"7,81"	"7,81"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153095152332023NP000401"	"2184,06"	"127,77"	"127,77"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153355152332023NP000057"	"2264,16"	"132,45"	"132,45"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153375152332023NP000023"	"202,92"	"11,87"	"11,87"
"27729308000129"	"COMAPE - COMERCIO DE ALIMENTOS DE PERNAMBUCO LTDA"	"153375152332023NP000024"	"133,5"	"2,94"	"2,94"
"10835932000108"	"COMPANHIA ENERGETICA DE PERNAMBUCO"	"153095152332023NP000403"	"1393630,18"	"91312,81"	"91.312,81"
"19726111000108"	"CONCESSIONARIA AEROPORTO RIO DE JANEIRO S.A."	"153080152332023NP000047"	"83,6"	"5,89"	"233,45"
"27950582000123"	"CONCESSIONARIA DO AEROPORTO DE SALVADOR S.A."	"153080152332023NP000046"	"84,18"	"5,93"	"13,37"
"27950582000123"	"CONCESSIONARIA DO AEROPORTO DE SALVADOR S.A."	"153080152332023NP000047"	"42,09"	"2,97"	"466,90"
"19674909000153"	"CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE CONFINS S"	"153080152332023NP000031"	"30,4"	"2,14"	"5,86"
"27844178000175"	"CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE FLORIANOPO"	"153080152332023NP000044"	"48,4"	"3,41"	"7,13"
"15578569000106"	"CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS"	"153080152332023NP000039"	"122,6"	"8,64"	"16,08"
"15578569000106"	"CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS"	"153080152332023NP000041"	"61,3"	"4,32"	"8,04"
"15578569000106"	"CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS"	"153080152332023NP000047"	"30,65"	"2,16"	"466,90"
"42206269000179"	"CONCESSIONARIA DO BLOCO CENTRAL S.A."	"153080152332023NP000047"	"41,53"	"2,93"	"233,45"
"42130537000116"	"CONCESSIONARIA DO BLOCO SUL S.A."	"153080152332023NP000047"	"42,76"	"3,01"	"233,45"
"07063185000203"	"COUTINHO E COUTINHO LTDA"	"153409152332023NP000308"	"185,1"	"2,3"	"1.106,82"
"11319557000378"	"DENTECK LTDA"	"153082152332023NP000082"	"22578,6"	"1320,85"	"1.320,85"
"11319557000378"	"DENTECK LTDA"	"153085152332023NP000044"	"8800"	"514,8"	"514,80"
"11319557000378"	"DENTECK LTDA"	"153088152332023NP000225"	"1760"	"102,96"	"102,96"
"11319557000378"	"DENTECK LTDA"	"153088152332023NP000227"	"7040"	"411,84"	"411,84"
"11319557000378"	"DENTECK LTDA"	"153088152332023NP000228"	"10110"	"591,44"	"591,44"
"11319557000378"	"DENTECK LTDA"	"153088152332023NP000233"	"3370"	"197,14"	"197,14"
"11319557000378"	"DENTECK LTDA"	"153088152332023NP000241"	"5130"	"300,1"	"300,10"
"11319557000378"	"DENTECK LTDA"	"153088152332023NP000246"	"1760"	"102,96"	"102,96"
"11319557000378"	"DENTECK LTDA"	"153089152332023NP000034"	"15522,68"	"908,08"	"908,08"
"12035234000153"	"DISQUE AGUA LTDA"	"153095152332023NP000428"	"12917,46"	"1220,7"	"1.220,70"
"12396339000308"	"DISTRIBUIDORA DE VEICULOS CONFIANCA LIMITADA"	"153409152332023NP000308"	"264,65"	"3,28"	"1.106,82"
"04409762000440"	"DIX EMPREENDIMENTOS LTDA"	"153080152332023NP000047"	"37,02"	"2,61"	"233,45"
"36056645000193"	"E DA R SOUZA COMBUSTIVEIS LTDA"	"153409152332023NP000308"	"905,38"	"11,23"	"1.106,82"
"34028316002157"	"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS"	"153409152332023NP000291"	"385,96"	"17,94"	"17,94"
"34028316002157"	"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS"	"153409152332023NP000299"	"3420,46"	"159,04"	"159,04"
"00352294000110"	"EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA - IN"	"153080152332023NP000030"	"42,29"	"2,98"	"12,50"
"00352294000110"	"EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA - IN"	"153080152332023NP000035"	"119,79"	"8,45"	"19,60"
"00352294000110"	"EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA - IN"	"153080152332023NP000047"	"41,5"	"2,93"	"233,45"
"00449936000102"	"ENGEMAIA & CIA LTDA"	"153095152332023NP000414"	"17272,96"	"1010,47"	"1.010,47"
"08735199000108"	"ESTRATEGICA SERVICOS E REPRESENTACOES EIRELI"	"153409152332023NP000277"	"25191,26"	"2380,57"	"2.380,57"
"08735199000108"	"ESTRATEGICA SERVICOS E REPRESENTACOES EIRELI"	"153409152332023NP000297"	"25191,26"	"2380,57"	"2.380,57"
"09422042000195"	"ETICA EMPREENDIMENTO E SERVICOS TERCEIRIZADOS EIRELI"	"150134152332023NP000075"	"41749,42"	"3945,32"	"3.945,32"
"09422042000195"	"ETICA EMPREENDIMENTO E SERVICOS TERCEIRIZADOS EIRELI"	"150134152332023NP000091"	"59903,74"	"5660,9"	"5.660,90"
"07999951000165"	"F.I. COMERCIO EM GERAL EIRELI"	"153088152332023NP000207"	"1500"	"87,75"	"87,75"
"07999951000165"	"F.I. COMERCIO EM GERAL EIRELI"	"153088152332023NP000209"	"300"	"17,55"	"17,55"
"34192524000143"	"FATO COMERCIO DE FERRAGENS EIRELI"	"153095152332023NP000409"	"7492,4"	"438,31"	"438,31"
"27059565000109"	"FRAPORT BRASIL S.A AEROPORTO DE FORTALEZA"	"153080152332023NP000040"	"48,71"	"3,43"	"7,14"
"27059460000141"	"FRAPORT BRASIL S.A AEROPORTO DE PORTO ALEGRE"	"153080152332023NP000048"	"106,28"	"7,49"	"14,93"
"11642408000183"	"GENEILDO DE SOUZA BATISTA"	"153409152332023NP000308"	"451,46"	"5,6"	"1.106,82"
"41106188000304"	"GENERAL GOODS LTDA"	"150230152332023NP000020"	"540077,8"	"31594,55"	"31.594,55"
"10996148000181"	"GERALDO VIEIRA & CIA LTDA"	"153409152332023NP000308"	"771,63"	"9,57"	"1.106,82"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000031"	"1768,9"	"17,69"	"45,49"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000031"	"1768,9"	"42,45"	"109,17"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000044"	"3139,6"	"31,4"	"31,40"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000044"	"3139,6"	"75,35"	"75,35"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000045"	"592,73"	"5,93"	"16,54"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000045"	"592,73"	"14,23"	"39,69"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000046"	"3127,14"	"31,27"	"51,61"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000046"	"3127,14"	"75,05"	"123,86"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000047"	"17694,5"	"176,94"	"1.027,83"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000047"	"17694,5"	"424,67"	"2.466,81"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000049"	"957,69"	"9,58"	"22,54"
"07575651002950"	"GOL LINHAS AEREAS S.A."	"153080152332023NP000049"	"957,69"	"22,98"	"54,08"
"08374804000162"	"GRUPO NORDESTE REFRIGERACAO LTDA"	"153095152332023NP000421"	"32781"	"3097,8"	"3.097,80"
"05202938000108"	"HC COMUNICACAO DE DADOS LTDA"	"153101152332023NP000073"	"287434,7"	"16814,93"	"16.814,93"
"11694577000671"	"IGUEP INCORPORADORA GUEDES PEREIRA LTDA"	"153409152332023NP000308"	"29522,34"	"366,08"	"1.106,82"
"08638541000151"	"INDUSTRIA E COMERCIO DE PERSIANAS NORDESTE LTDA"	"153084152332023NP000070"	"1887"	"110,39"	"110,39"
"08638541000151"	"INDUSTRIA E COMERCIO DE PERSIANAS NORDESTE LTDA"	"153086152332023NP000038"	"396"	"23,17"	"23,17"
"08638541000151"	"INDUSTRIA E COMERCIO DE PERSIANAS NORDESTE LTDA"	"153086152332023NP000040"	"5106"	"298,7"	"298,70"
"08638541000151"	"INDUSTRIA E COMERCIO DE PERSIANAS NORDESTE LTDA"	"153088152332023NP000239"	"5544"	"324,32"	"324,32"
"08638541000151"	"INDUSTRIA E COMERCIO DE PERSIANAS NORDESTE LTDA"	"153088152332023NP000240"	"2376"	"138,99"	"138,99"
"15559082000186"	"INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA S/"	"153080152332023NP000030"	"29,51"	"2,08"	"12,50"
"15559082000186"	"INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA S/"	"153080152332023NP000043"	"29,51"	"2,08"	"5,79"
"15559082000186"	"INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA S/"	"153080152332023NP000045"	"29,51"	"2,08"	"5,80"
"15559082000186"	"INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA S/"	"153080152332023NP000047"	"29,51"	"2,08"	"233,45"
"15559082000186"	"INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA S/"	"153080152332023NP000047"	"59,02"	"4,16"	"233,45"
"14639720000106"	"INFRAMERICA CONCESSIONARIA DO AEROPORTO DE SAO GONCALO"	"153080152332023NP000047"	"36,27"	"2,56"	"233,45"
"08418303000130"	"IRMAOS JOTA PINTO & CIA LTDA"	"153409152332023NP000308"	"474,75"	"5,89"	"1.106,82"
"08072308000316"	"J A D ARAUJO & CIA LTDA"	"153409152332023NP000308"	"2132,12"	"26,44"	"1.106,82"
"08072308000669"	"J A D ARAUJO & CIA LTDA"	"153409152332023NP000308"	"491,31"	"6,09"	"1.106,82"
"07859130000123"	"JET-7 AUTO POSTO LTDA"	"153409152332023NP000308"	"447,09"	"5,54"	"1.106,82"
"01437983000271"	"JHM COMERCIAL PECAS LTDA"	"153409152332023NP000305"	"120"	"11,34"	"11,34"
"01437983000271"	"JHM COMERCIAL PECAS LTDA"	"153409152332023NP000305"	"1840"	"107,64"	"107,64"
"23669246000156"	"JL COMERCIO, REPRESENTACOES E SERVICOS EIRELI"	"153409152332023NP000305"	"115"	"6,73"	"6,73"
"23669246000156"	"JL COMERCIO, REPRESENTACOES E SERVICOS EIRELI"	"153409152332023NP000305"	"440"	"41,58"	"41,58"
"22022155000161"	"JOAO BATISTA DE ANDRADE DAS CHAGAS LAVA JATO"	"153409152332023NP000305"	"245"	"23,15"	"23,15"
"16180804000150"	"JOSE JUERANDE DA SILVA"	"153409152332023NP000308"	"330,04"	"4,09"	"1.106,82"
"06212140000290"	"JR AGRO E COMERCIO DE COMBUSTIVEIS LTDA"	"153409152332023NP000308"	"612,58"	"7,6"	"1.106,82"
"04168835000106"	"L. P. COMBUSTIVEIS E PNEUS LTDA."	"153409152332023NP000308"	"421,85"	"5,23"	"1.106,82"
"02604236000162"	"LAYOUT MOVEIS PARA ESCRITORIO LTDA"	"153085152332023NP000042"	"950"	"55,58"	"55,58"
"02604236000162"	"LAYOUT MOVEIS PARA ESCRITORIO LTDA"	"153086152332023NP000035"	"5250"	"307,12"	"307,12"
"11963931000101"	"LIMA E MARQUES LTDA"	"153409152332023NP000308"	"343,03"	"4,25"	"1.106,82"
"35808926000192"	"LUANNA DE FATIMA GALVAO VAZ DE MENDONCA FURTADO COMERC"	"153409152332023NP000308"	"405,05"	"5,02"	"1.106,82"
"36081955000168"	"M R R CECILIO MACHADO EIRELI"	"153409152332023NP000308"	"840,13"	"10,42"	"1.106,82"
"70184056000129"	"MARLEIDE BESERRA DINIZ LTDA"	"153409152332023NP000308"	"422,44"	"5,24"	"1.106,82"
"12467682000126"	"MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA"	"150230152332023NP000024"	"14750"	"862,88"	"862,88"
"12467682000126"	"MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA"	"153082152332023NP000087"	"2950"	"172,58"	"172,58"
"12467682000126"	"MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA"	"153082152332023NP000091"	"2950"	"172,57"	"172,57"
"12467682000126"	"MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA"	"153083152332023NP000154"	"680"	"39,78"	"39,78"
"12467682000126"	"MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA"	"153086152332023NP000032"	"680"	"39,78"	"39,78"
"12467682000126"	"MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA"	"153087152332023NP000184"	"2950"	"172,58"	"172,58"
"12467682000126"	"MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA"	"153088152332023NP000244"	"680"	"39,78"	"39,78"
"12467682000126"	"MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA"	"153089152332023NP000028"	"2950"	"172,57"	"172,57"
"06088039000199"	"MCP REFEICOES LTDA"	"150119152332023NP000110"	"104559,62"	"6116,74"	"6.116,74"
"06088039000199"	"MCP REFEICOES LTDA"	"153375152332023NP000022"	"121692,5"	"7119,01"	"7.119,01"
"28584157000392"	"METDATA TECNOLOGIA DA INFORMACAO EIRELI"	"150134152332023NP000093"	"14970"	"875,74"	"875,74"
"28584157000392"	"METDATA TECNOLOGIA DA INFORMACAO EIRELI"	"150134152332023NP000094"	"39920"	"2335,32"	"2.335,32"
"28584157000392"	"METDATA TECNOLOGIA DA INFORMACAO EIRELI"	"153082152332023NP000085"	"4990"	"291,92"	"291,92"
"28584157000392"	"METDATA TECNOLOGIA DA INFORMACAO EIRELI"	"153082152332023NP000088"	"4990"	"291,91"	"291,91"
"24396327000192"	"MGR ENGENHARIA E INCORPORACAO LTDA"	"153095152332023NP000412"	"6161,38"	"360,44"	"360,44"
"24396327000192"	"MGR ENGENHARIA E INCORPORACAO LTDA"	"153095152332023NP000416"	"171391,1"	"10026,38"	"10.026,38"
"22524403000172"	"MORORO COMBUSTIVEIS LTDA"	"153409152332023NP000308"	"1256,7"	"15,58"	"1.106,82"
"05111625000144"	"MOVENORD - MOVEIS DO NORDESTE LTDA"	"156661152332023NP000066"	"1200"	"70,2"	"70,20"
"12805036000121"	"MULTCOM CONSTRUTORA LTDA"	"153095152332023NP000311"	"27507,17"	"1609,17"	"1.609,17"
"12805036000121"	"MULTCOM CONSTRUTORA LTDA"	"153095152332023NP000418"	"246677,04"	"14430,61"	"14.430,61"
"22566069000110"	"N L MONTEIRO DA SILVA COMERCIAL LTDA"	"153355152332023NP000060"	"553,95"	"32,4"	"32,40"
"31731853000127"	"NEW LINE SOLUCOES CORPORATIVAS LTDA"	"153088152332023NP000229"	"7700"	"450,45"	"450,45"
"18301321000191"	"NEX LOCACOES E SERVICOS SOCIEDADE UNIPESSOAL LTDA"	"153095152332023NP000417"	"9029,25"	"853,26"	"853,26"
"18301321000191"	"NEX LOCACOES E SERVICOS SOCIEDADE UNIPESSOAL LTDA"	"153409152332023NP000286"	"9006,63"	"851,13"	"851,13"
"35593870000104"	"NUNES COMERCIO VAREJISTA DE DERIVADOS DO PETROLEO EIREL"	"153409152332023NP000308"	"13099,98"	"162,44"	"1.106,82"
"09571844000167"	"O V J DERIVADOS DE PETROLEO LTDA"	"153409152332023NP000308"	"343,91"	"4,26"	"1.106,82"
"10530701000196"	"PESQUEIRA COMBUSTIVEL LTDA"	"153409152332023NP000308"	"1089,89"	"13,51"	"1.106,82"
"00437311000112"	"PORTENTO CONSTRUCOES LTDA"	"153409152332023NP000292"	"1320"	"124,74"	"124,74"
"00437311000112"	"PORTENTO CONSTRUCOES LTDA"	"153409152332023NP000295"	"61050"	"5769,22"	"5.769,22"
"00437311000112"	"PORTENTO CONSTRUCOES LTDA"	"153409152332023NP000304"	"81840"	"7733,88"	"7.733,88"
"81243735001977"	"POSITIVO TECNOLOGIA S.A."	"150134152332023NP000104"	"49798"	"1095,56"	"1.095,56"
"81243735001977"	"POSITIVO TECNOLOGIA S.A."	"153084152332023NP000069"	"3557"	"78,25"	"78,25"
"81243735001977"	"POSITIVO TECNOLOGIA S.A."	"153088152332023NP000235"	"71140"	"4161,69"	"4.161,69"
"03281744000110"	"POSTO IBIZA LTDA"	"153409152332023NP000308"	"570,89"	"7,08"	"1.106,82"
"01498154000118"	"POSTO INCONFIDENCIA LTDA"	"153409152332023NP000308"	"6186,67"	"76,71"	"1.106,82"
"08399834000123"	"POSTO PLANALTO LTDA"	"153409152332023NP000308"	"732,79"	"9,09"	"1.106,82"
"07594533000198"	"POSTO SOPHIA LTDA"	"153409152332023NP000308"	"20540,59"	"254,7"	"1.106,82"
"30285425000155"	"POSTO VALE OURO LTDA"	"153409152332023NP000308"	"139,58"	"1,73"	"1.106,82"
"13231916000102"	"PRIME POSTOS EIRELI"	"153409152332023NP000308"	"327,09"	"4,06"	"1.106,82"
"46218314000166"	"PRIMEMED EQUIPAMENTOS LTDA"	"153087152332023NP000176"	"1800"	"105,3"	"105,30"
